original	simplification	label
The term gribble was originally assigned to the wood-boring species, especially the first species described from Norway by Rathke in 1799, Limnoria lignorum.	Key (v) indicates the actor or actress lent only his or her voice for his or her film character.	0.0
The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.	The complainant said he had not given up his Nepali citizenship even though he had become a citizen of the US, which is not allowed according to Nepali law.	83.33333333333333
In 1998, Culver ran for Iowa Secretary of State and was victorious.	In 1998, Culver ran for Iowa Secretary of State and was victorious.	100.0
Development Stable releases are rare, but there are often Subversion snapshots which are stable enough to use.	Development stable releases are rare, but there are often subversion snapshots which are stable enough to use.	92.375
Brunstad has several fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store.	Brunstad has several fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store.	100.0
The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.	His misadventures are often fueled by his immature mannerisms and his love of food.	0.0
For example, the stylebook of the Associated Press is updated annually.	For example, the stylebook of the Associated Press is updated annually.	100.0
The name survives as a brand for a related spin-off digital television channel, digital radio station, and website which have survived the demise of the printed magazine.	The name survives, radio station, and which have survived the demise.	22.86666667
Their eyes are quite small, and their visual Acuity is poor.	Their eyes are quite small, and their visual Acuity is poor.	96.46666666666667
Robinson returned to West Point in 1972 to serve as the 3rd Regimental Tactical officer, where he was tasked with developing and training cadets.	Robinson returned to West Point in 1972 as the 3rd Regimental Tactical officer. His main job at West Point was to train the new cadets.	89.33333333333333
He was diagnosed with inoperable abdominal cancer in April 1999.	Original ratings The original movie ratings (used from 1968 to 1970) were: G (General Audiences): All ages admitted.	0.0
In August 2003, the San Diego Union Tribune alleged that U.S. Marine pilots and their commanders confirmed the use of Mark 77 firebombs on Iraqi Republican Guards during the initial stages of combat.	In August 2003, the San Diego Union Tribune alleged that U.S. Marine pilots and their commanders confirmed the use of Mark 77 firebombs on Iraqi Republican Guards during the initial stages of combat.	100.0
Forty-Nine species of Pipefish and nine species of seahorse have been recorded.	Forty-Nine species of Pipefish and nine species of seahorse have been recorded.	100.0
