document	simplification	labels
"In a short video promoting the charity Equality Now Joss Whedon confirmed that ""Fray is not done, Fray is coming back."	In a short Video to help give funds to equality now joss Whedon said that fray will be back.	0.5616666666666666
During childhood she suffered from collapsed lungs twice, she had pneumonia 4-5 times a year, a ruptured appendix, and had a tonsillar cyst.	For the child she lost from collapsed lungs twice, she had pneumonia four or five times a year, a break up Annex, and had a tonsillar cyst.	0.502
Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna, do not follow official Western Australian time.	Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna.	0.594
The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.	The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.	1.0
The album, however, was banned from many record stores nationwide.	The album was banned from many record stores nationwide.	0.996
It is derived from voice of America( VOA) special English.	It is derived from voice of America (VOA) special English.	0.9179999999999999
Some reports read that various factors increase the likelihood of both paralysis and hallucinations.	Some reports say that various factors increase the likelihood of both paralysis, and hallucinations.	0.9186666667
There is general acknowledgment among the mediators, as well as some outside observers, that this agreement represents a step towards peace, but that true peace had yet to be fully realized.	Many mediators and outside observers agree that this agreement is a step towards peace, but that true peace has not been achieved yet.	1.0
The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.	Ukraine's nuclear energy agency said that Russia was responsible for the shelling.	0.9333333333333332
This was substantially complete when Messiaen died, and Yvonne Loriod undertook the final movement's orchestration with advice from George Benjamin.	When Messiaen died, Yvonne Loriod handled the final movement's orchestration with advice from George Benjamin.	0.355625
The Britannica was primarily a Scottish enterprise, as symbolised by its thistle logo, the floral emblem of Scotland.	The Britannica was mostly a Scottish company. It was used by its thistle logo, the emblem of Scotland.	0.7773333333
People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.	People with cardiomyopathy often have a risk of heart cardiac death or both.	0.7253333333
A matchbook is a small cardboard folder (matchcover) enclosing a quantity of matches and having a coarse striking surface on the exterior.	A matchbook is a small cardboard folder (matchcover) enclosing a number of games and having a coarse striking surface on the field.	0.6473333333
Development stable releases are rare, but there are often subversion snapshots which are stable enough to use.	Development stable releases are rare, but there are often subversion snapshots.	0.8593333333333334
The sheer weight of the continental icecap sitting on top of Lake Vostok is believed to contribute to the high oxygen concentration.	The sheer weight of the nampan icecap sitting on top of Lake Vostok is thought to help the high oxygen level.	0.8413333333
"Football fans around the world may find some apprehensions about going to the World Cup in Qatar because of the alcohol laws concerning consuming alcohol in public places, but World Cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the World Cup."	"Football fans may be worried about going to the World Cup in Qatar because of the laws about drinking alcohol in public places, but World Cup organizers have created ""sobering up"" zones to make sure fans feel safe and secure."	0.9333333333333332
These missions will seek to reestablish a human presence on the Moon and demonstrate technologies and business approaches needed for future scientific studies, including exploration of Mars.	Missions will be launched to return people to the Moon and prove the technology and commercial practices that are necessary for additional scientific research, including exploring Mars.	1.0
Robinson returned to West Point in 1972 to serve as the 3rd Regimental Tactical officer, where he was tasked with developing and training cadets.	Robinson went back to West Point in 1972 and was given the job of developing and teaching cadets as the third Regimental Tactical officer.	0.94
The area covered by the warning issued on September 22 was extended southwards as Jose intensified, before being canceled soon after landfall on September 23.	The area covered by the warning issued on Sept. 22 was spread southwards as Jose stepped up, before being canceled soon after Landfall on September 23.	0.505
A fee is the price one pays as remuneration for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of a learned profession.	A price one might pay for services is a called a fee.	0.7541176470588234
The Iranian team notably made headlines in their opening match against England after refusing to sing the national anthem in solidarity with the Mahsa Amini protests, with some Iranian supporters cheering against their own team or boycotting their team amidst the ongoing protests as they felt the team was representing the government.	The Iranian team became famous in their opening match against England when they refused to sing the national anthem to support the Mahsa Amini protests. Because of this, some Iranian supporters cheered against their own team or boycotted their team during the protests.	1.0
Monteux is a commune of the Vaucluse département in southern France, in the area Provence-Alpes-Côte d'Azur.	It is found in the region Provence-Alpes-Côte d'Azur in the Vaucluse department in the south of France.	0.8473333332999999
Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8:10) Saturn pinned Guerrero after a Diving elbow drop.	He defeated Eddie Guerrero (with Chyna) to win the WWF European championship (8: 10) Saturn pinned Guerrero after a diving elbow drop.	0.9520000000000001
Brunstad has several fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store.	Brunstad has food restaurants, coffee, a restaurant Cafeteria-Style bar, and its grocery store.	0.9521428571428571
